5:> **Agents**: Researcher, Programmer, Quality Assurance
8:> **⛔ PROGRAMMER WRAPPING-ONLY LOCK — ACTIVE (2026-05-18 23:27 UTC)**: Set by zoe. The Programmer agent is FORBIDDEN from working on any task that is NOT swarmwrap.sty. No README, no CI/CD, no CTAN, no documentation, no cleanup, no spellcheck. The ONLY files that may be modified are `src/themes/swarmwrap.sty` and its test files in `src/test-wrapfig/`. This lock expires ONLY when zoe explicitly lifts it. All other Programmer tasks (#130, #132, #134-#140) are DEFERRED indefinitely. Violation means the work does not count.
29:## TODO
37:| 5 | Design the "beautiful" theme — title page, typography, colors, tables | Programmer | **done** | 2026-05-14 |
38:| 6 | Design the "performance" theme — minimal, fast compilation | Programmer | **done** | 2026-05-14 |
39:| 7 | Write Python helper scripts (compile, stats, auto-compile, dep checker) | Programmer | **done** | 2026-05-14 |
40:| 8 | Write Lua scripts (compile time, page count, image inventory, cross-ref stats, file size) | Programmer | **done** (initial) | 2026-05-14 |
41:| 9 | Write setup script for portable LaTeX install + all required packages | Programmer | **done** | 2026-05-14 |
42:| 10 | Create demo `.tex` document showcasing all theme features | Programmer | **done** | 2026-05-14 |
48:| 16 | **FIX**: swarmbeauty.sty — replace geometry with KOMA typearea; replace tocloft with KOMA tocbasic; replace fancyhdr with scrlayer-scrpage; fix table rule colors; fix title page overlap with header bar | Programmer | **done** | 2026-05-14 |
49:| 17 | **FIX**: compile.py — add `--shell-escape` flag support (auto-detect minted usage); reduce unnecessary compilation passes; add stderr warning display | Programmer | **done** | 2026-05-14 |
50:| 18 | **FIX**: metrics.lua — use `os.clock()` for wall time instead of `os.time()`; properly hook into `\input`/`\include` for file tree; fix JSON serialization; track or remove dead counters (font_changes, color_changes); make output path configurable | Programmer | **done** | 2026-05-14 |
51:| 19 | **FIX**: Consolidate setup.sh and setup-env.sh into one script (or clearly document which to use); fix TeX Live path mismatch between setup-env.sh (`texlive/2025/`) and compile.py (`texlive/bin/`); add `--binary` flag to setup.sh install-tl | Programmer | **done** | 2026-05-14 |
54:| 32 | **FIX**: compile.py v2.0 — (1) `_minted-*` directories not cleaned by `clean_aux()` (only handles files by extension, minted cache dirs persist after `--clean`); (2) smart multi-pass doesn't detect "Please rerun Biber" warning (only checks undefined refs — complex bib may need 4th pass, user must use `--passes 4`). Fix both issues and verify. | Programmer | **done** | 2026-05-14 |
