     1→# BLACKBOARD — Inter-Agent Communication Hub
     2→
     3→> **Project**: All-in-One LaTeX Helper (theme + scripts + Lua tooling)
     4→> **Repo**: `sudo-aza/swarm`
     5→> **Agents**: Researcher, Programmer, Quality Assurance
     6→> **Last updated**: 2026-05-22
     7→
     8→> **⛔ PROGRAMMER WRAPPING-ONLY LOCK — ACTIVE (2026-05-18 23:27 UTC)**: Set by zoe. The Programmer agent is FORBIDDEN from working on any task that is NOT swarmwrap.sty. No README, no CI/CD, no CTAN, no documentation, no cleanup, no spellcheck. The ONLY files that may be modified are `src/themes/swarmwrap.sty` and its test files in `src/test-wrapfig/`. This lock expires ONLY when zoe explicitly lifts it. All other Programmer tasks (#130, #132, #134-#140) are DEFERRED indefinitely. Violation means the work does not count.
     9→
    10→> **📋 SWARMWRAP AUTHORITATIVE SPECS** (zoe, 2026-05-19): Full spec in `notes/wrapping-specs.md`. Summary:
    11→> **MUST**: (1) wrap figure on right, (2) auto-detect sizes, (3) must not break on newpages, (4) near a newpage → wrap right at top-right of NEXT page (NOT centered), (5) zero overlaps.
    12→> **ACCEPTABLE**: LuaLaTeX required, right-side only, lists may break.
    13→> **v3.18 STATUS**: Ghost narrowing fixed via page-eject. In NORMAL path, checks if `nl * baselineskip > remaining_space - 2*baselineskip`. If true, inserts `\newpage` before setting parshape/placing figure, ensuring all narrow lines + figure are on same page. Restructured `\noindent`/`\parshape` to be set AFTER eject decision. Result: ghost narrowing 4 → 0 in 50-figure stress test. Page count 42 → 43 (1 extra page from eject). All standard tests pass: 0 errors, 0 regressions. Two-pass backup approach documented in `notes/ghost-narrowing-fix.md`.
    14→
    15→---
    16→
    17→## Project Vision
    18→
    19→Build an **all-in-one LaTeX helper toolkit** consisting of:
    20→
    21→1. **Beautiful Theme** (`src/themes/`) — Gorgeous title page, styled tables, syntax-highlighted code blocks, color palette, headers/footers, TOC styling
    22→2. **Performance Theme** (`src/themes/`) — Minimal, fast-to-compile version optimized for build speed and small PDF size
    23→3. **Lua Scripts** (`src/lua/`) — Document metrics: compilation time, page count, word count, file inclusion tree, PDF size analysis
    24→4. **Python Helpers** (`scripts/`) — Smart compilation, cleanup, watch mode, benchmarking, template generation
    25→5. **Setup & Portability** (`scripts/`) — Reinstall everything from scratch on a fresh VM in one command
    26→
    27→---
    28→
    29→## TODO
    30→
    31→| # | Task | Assigned To | Status | Created |
    32→|---|------|-------------|--------|---------|
    33→| 1 | Research best-in-class LaTeX themes (Beamer, article, book) and their defaults | Researcher | **done** | 2026-05-14 |
    34→| 2 | Research LuaLaTeX performance measurement libraries and techniques | Researcher | **done** | 2026-05-14 |
    35→| 3 | Research portable LaTeX distributions (TeX Live, MiKTeX portable) | Researcher | **done** | 2026-05-14 |
    36→| 4 | Research CI/CD and compilation benchmarking approaches | Researcher | **done** | 2026-05-14 |
    37→| 5 | Design the "beautiful" theme — title page, typography, colors, tables | Programmer | **done** | 2026-05-14 |
    38→| 6 | Design the "performance" theme — minimal, fast compilation | Programmer | **done** | 2026-05-14 |
    39→| 7 | Write Python helper scripts (compile, stats, auto-compile, dep checker) | Programmer | **done** | 2026-05-14 |
    40→| 8 | Write Lua scripts (compile time, page count, image inventory, cross-ref stats, file size) | Programmer | **done** (initial) | 2026-05-14 |
    41→| 9 | Write setup script for portable LaTeX install + all required packages | Programmer | **done** | 2026-05-14 |
    42→| 10 | Create demo `.tex` document showcasing all theme features | Programmer | **done** | 2026-05-14 |
    43→| 11 | QA: Review theme visual output (title page, tables, code blocks, spacing) | QA | **done** | 2026-05-13 |
    44→| 12 | QA: Test performance theme compilation speed vs standard | QA | **done** (see #36) | 2026-05-14 |
    45→| 13 | QA: Review Python helper scripts for correctness and edge cases | QA | **done** | 2026-05-13 |
    46→| 14 | QA: Review Lua scripts for accurate measurements | QA | **done** | 2026-05-13 |
    47→| 15 | QA: Test setup script on clean environment | QA | **done** | 2026-05-13 |
    48→| 16 | **FIX**: swarmbeauty.sty — replace geometry with KOMA typearea; replace tocloft with KOMA tocbasic; replace fancyhdr with scrlayer-scrpage; fix table rule colors; fix title page overlap with header bar | Programmer | **done** | 2026-05-14 |
    49→| 17 | **FIX**: compile.py — add `--shell-escape` flag support (auto-detect minted usage); reduce unnecessary compilation passes; add stderr warning display | Programmer | **done** | 2026-05-14 |
    50→| 18 | **FIX**: metrics.lua — use `os.clock()` for wall time instead of `os.time()`; properly hook into `\input`/`\include` for file tree; fix JSON serialization; track or remove dead counters (font_changes, color_changes); make output path configurable | Programmer | **done** | 2026-05-14 |
