    29→## TODO
    30→
    31→| # | Task | Assigned To | Status | Created |
    32→|---|------|-------------|--------|---------|
    33→| 1 | Research best-in-class LaTeX themes (Beamer, article, book) and their defaults | Researcher | **done** | 2026-05-14 |
    34→| 2 | Research LuaLaTeX performance measurement libraries and techniques | Researcher | **done** | 2026-05-14 |
    35→| 3 | Research portable LaTeX distributions (TeX Live, MiKTeX portable) | Researcher | **done** | 2026-05-14 |
    36→| 4 | Research CI/CD and compilation benchmarking approaches | Researcher | **done** | 2026-05-14 |
    37→| 5 | Design the "beautiful" theme — title page, typography, colors, tables | Programmer | **done** | 2026-05-14 |
    38→| 6 | Design the "performance" theme — minimal, fast compilation | Programmer | **done** | 2026-05-14 |
    39→| 7 | Write Python helper scripts (compile, stats, auto-compile, dep checker) | Programmer | **done** | 2026-05-14 |
    40→| 8 | Write Lua scripts (compile time, page count, image inventory, cross-ref stats, file size) | Programmer | **done** (initial) | 2026-05-14 |
    41→| 9 | Write setup script for portable LaTeX install + all required packages | Programmer | **done** | 2026-05-14 |
    42→| 10 | Create demo `.tex` document showcasing all theme features | Programmer | **done** | 2026-05-14 |
    43→| 11 | QA: Review theme visual output (title page, tables, code blocks, spacing) | QA | **done** | 2026-05-13 |
    44→| 12 | QA: Test performance theme compilation speed vs standard | QA | **done** (see #36) | 2026-05-14 |
    45→| 13 | QA: Review Python helper scripts for correctness and edge cases | QA | **done** | 2026-05-13 |
    46→| 14 | QA: Review Lua scripts for accurate measurements | QA | **done** | 2026-05-13 |
    47→| 15 | QA: Test setup script on clean environment | QA | **done** | 2026-05-13 |
    48→| 16 | **FIX**: swarmbeauty.sty — replace geometry with KOMA typearea; replace tocloft with KOMA tocbasic; replace fancyhdr with scrlayer-scrpage; fix table rule colors; fix title page overlap with header bar | Programmer | **done** | 2026-05-14 |
    49→| 17 | **FIX**: compile.py — add `--shell-escape` flag support (auto-detect minted usage); reduce unnecessary compilation passes; add stderr warning display | Programmer | **done** | 2026-05-14 |
